Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);
Macrophages;CD68+;NA;NA;NA;NA;NA;36;0;57;0;57;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;23;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;9;2;41;NA;NA;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Mean;95%Cl;PMID;26413839;p. 5, Section Results;Article;;;;;;3;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;30;3;70;3;70;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;5;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;40;0;128;0;128;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;59;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;41;0;127;0;127;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;19;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;40;0;120;0;120;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;45;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;3;0;6;0;6;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;2;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;18;0;30;0;30;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;3;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;3;0;25;0;25;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;4;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;46;26;64;26;64;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;6;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;2;0;86;0;86;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;7;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;46;19;81;19;81;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;14;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;46;2;127;2;127;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Median;Not specified;PMID;26413839;Fig. 5, p. 9;Article;;;;;;31;;;;;;;
Macrophages;;NA;NA;NA;NA;NA;61;3;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Sarcoidosis;Mean;SE;PMID;3231905;tab.1 p.43;Article;;21;21;44.3;;42;;;;9 smokers;;;
Macrophages;;NA;NA;NA;NA;NA;55.2;3.6;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Sarcoidosis;Mean;SE;PMID;3231905;tab.1 p.43;Article;;;;;;30;;;;;;;
Macrophages;;NA;NA;NA;NA;NA;76.4;3.1;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Sarcoidosis;Mean;SE;PMID;3231905;tab.1 p.43;Article;;;;;;12;;;;;;;
Macrophages;;NA;NA;NA;NA;NA;68;10;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Lung cancer;Mean;SE;PMID;3231905;tab.1 p.43;Article;;6;2;60.5;;8;;;;8 smokers;;;
Macrophages;;NA;NA;NA;NA;NA;91.6;3;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Healthy control;Mean;SE;PMID;3231905;tab.1 p.43;Article;;3;2;55;;5;;;;5 nonsmokers;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;209.6;156.4;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;24;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;403.2;309.6;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;24;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;132;136;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;27;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;447.2;230.4;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;27;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;169.2;149.6;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;20;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;416.4;281.2;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;20;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;166.4;152;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;31;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;433.2;264.8;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;31;;;;;;;
