Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);
Macrophages;CD68+;NA;NA;NA;NA;NA;146.8;148;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;27;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;439.2;265.2;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;27;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;192;151.2;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;24;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;412.4;277.6;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;24;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;2.8;0.6;NA;NA;NA;kcells/L;cells/mm2_lung_COPD;Lung tissue;Chronic obstructive pulmonary disease (COPD);Mean;SEM;PMID;18510721;tab. 2, p. 3;Article;;4;6;64.7;;10;;;;Current/Ex-/Non-smokers;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;5.4;1.4;NA;NA;NA;kcells/L;cells/mm2_lung_COPD;Lung tissue;Chronic obstructive pulmonary disease (COPD);Mean;SEM;PMID;18510721;tab. 2, p. 3;Article;;6;4;71.2;;10;;;;Current/Ex-smokers;;;
Alveolar Macrophages;;57095.451;37834.335;67337.473;37834.335;67337.473;74.7;49.5;88.1;49.5;88.1;kcells/L;% of total cell count_BW_9249269;Bronchial wash;Asthma;Median;Not specified;PMID;9249269;Tab. 2, p. 774;Article;;11;7;26.94;;18;;;;;;;
Alveolar Macrophages;;122606.736;86022.468;137155.692;86022.468;137155.692;86.8;60.9;97.1;60.9;97.1;kcells/L;% of total cell count_BAL_9249269;Broncho-alveolar lavage (BAL);Asthma;Median;Not specified;PMID;9249269;Tab. 2, p. 774;Article;;11;7;26.94;;18;;;;;;;
Alveolar Macrophages;;365341.807;153279.862;587820.83;153279.862;587820.83;49.1;20.6;79;20.6;79;kcells/L;% non-squamous_cells_Sputum_9249269;Sputum;Asthma;Median;Not specified;PMID;9249269;Tab. 2, p. 774;Article;;11;7;26.94;;18;;;;;;;
Alveolar Macrophages;;379000;61000;1816000;61000;1816000;37.9;6.1;181.6;6.1;181.6;kcells/L;1E4*cells/mL;Sputum;Asthma;Median;Not specified;PMID;9249269;Tab. 3, p. 775;Article;;11;7;26.94;;18;;;;;;;
M2-polarized macrophages;CD163+,CD68+;NA;NA;NA;NA;NA;77.6;0;356.9;0;356.9;kcells/L;cells/mm2_islets_NSCLC;NSCLC tumor islets (nests);Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;40;10;58;;50;;;;;;;
M2-polarized macrophages;CD163+,CD68+;NA;NA;NA;NA;NA;78.4;0;327.9;0;327.9;kcells/L;cells/mm2_stroma_NSCLC;NSCLC tumor stroma;Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;40;10;58;;50;;;;;;;
M2-polarized macrophages;CD163+,CD68+;NA;NA;NA;NA;NA;97.9;0;299.2;0;299.2;kcells/L;cells/mm2_tumor_NSCLC;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;40;10;58;;50;;;;;;;
M2-polarized macrophages;CD163+,CD68+;NA;NA;NA;NA;NA;113.4;0;311.5;0;311.5;kcells/L;cells/mm2_islets_NSCLC;NSCLC tumor islets (nests);Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;41;9;60.5;;50;;;;;;;
M2-polarized macrophages;CD163+,CD68+;NA;NA;NA;NA;NA;79.5;0;234.3;0;234.3;kcells/L;cells/mm2_stroma_NSCLC;NSCLC tumor stroma;Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;41;9;60.5;;50;;;;;;;
M2-polarized macrophages;CD163+,CD68+;NA;NA;NA;NA;NA;109.5;0;257.5;0;257.5;kcells/L;cells/mm2_tumor_NSCLC;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;41;9;60.5;;50;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;83.04;12.7;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;38;;;;38;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;82.15;11.26;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;27;;;27;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;84.84;12.04;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;34;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;82;10.61;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;31;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;82.23;10.43;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;36;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;82.87;10.17;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;29;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;95.99;15.6;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;35;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;70.26;12.16;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;30;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;76.81;10.32;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;39;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;92.05;18.14;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;26;;;;;;;
M2-polarized macrophages;CD206+ (MMR+),CD68+;NA;NA;NA;NA;NA;79.71;16.27;NA;NA;NA;kcells/L;%tumor-associated macrophages_adenocarcinoma;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;p. 1879, Section Abstrac;Article;;38;27;51.5;;65;;;;;;;
M1-polarized macrophages;CD68+,HLA-DR+;NA;NA;NA;NA;NA;70.1;0;255.3;0;255.3;kcells/L;cells/mm2_islets_NSCLC;NSCLC tumor islets (nests);Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;40;10;58;;50;;;;;;;
M1-polarized macrophages;CD68+,HLA-DR+;NA;NA;NA;NA;NA;33.6;0;257.1;0;257.1;kcells/L;cells/mm2_stroma_NSCLC;NSCLC tumor stroma;Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;40;10;58;;50;;;;;;;
M1-polarized macrophages;CD68+,HLA-DR+;NA;NA;NA;NA;NA;70.4;0;255.7;0;255.7;kcells/L;cells/mm2_tumor_NSCLC;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;40;10;58;;50;;;;;;;
M1-polarized macrophages;CD68+,HLA-DR+;NA;NA;NA;NA;NA;7.3;0;74.9;0;74.9;kcells/L;cells/mm2_islets_NSCLC;NSCLC tumor islets (nests);Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;41;9;60.5;;50;;;;;;;
M1-polarized macrophages;CD68+,HLA-DR+;NA;NA;NA;NA;NA;13.1;0;129.9;0;129.9;kcells/L;cells/mm2_stroma_NSCLC;NSCLC tumor stroma;Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;41;9;60.5;;50;;;;;;;
M1-polarized macrophages;CD68+,HLA-DR+;NA;NA;NA;NA;NA;17.2;0;132.2;0;132.2;kcells/L;cells/mm2_tumor_NSCLC;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;20338029;Tab. 2, p. 4;Article;;41;9;60.5;;50;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;21.15;6.11;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;38;;;;38;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;20.61;5.73;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;27;;;27;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;21.29;5.1;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;34;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;20.58;6.26;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;31;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;20.63;6.96;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;36;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;20.8;6.16;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;29;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;24.09;4.56;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;35;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;18.85;7.27;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;30;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;20.31;4.71;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;39;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;23.45;5.35;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;26;;;;;;;
M1-polarized macrophages;CD68+,iNOS+;NA;NA;NA;NA;NA;20.35;5.31;NA;NA;NA;kcells/L;%tumor-associated macrophages_adenocarcinoma;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;p. 1879, Section Abstract;Article;;38;27;51.5;;65;;;;;;;
Tumour Associated Macrophages;CD68+,IL10+;1.77132;0.56028;2.55432;NA;NA;50.9;16.1;73.4;NA;NA;kcells/L;%_TAMs_Lung_NSCLC_LateStage_17537769.;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Median;IQR(Q1, Q3);PMID;17537769;Tab. 2, p. 630;Article;;;;;;23;;;;;;;
Tumour Associated Macrophages;CD68+,IL10+;0.31584;0.04606;0.96397;NA;NA;9.6;1.4;29.3;NA;NA;kcells/L;%TAMs_Lung_NSCLC_EarlyStage_17537769.;Tumor;Non-Small Cell Lung Cancer (NSCLC);Median;IQR(Q1, Q3);PMID;17537769;Tab. 2, p. 630;Article;;;;;;24;;;;;;;
Tumour Associated Macrophages;CD68+;11.4796971244454;6.42152625658418;18.9041025676439;NA;NA;10.9;7.4;15.2;NA;NA;kcells/L;Cells/HPF_26.5mm_x600_Lung;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Median;IQR(Q1, Q3);PMID;17537769;Tab. 2, p. 630;Article;;;;;;23;;;;;;;
Tumour Associated Macrophages;CD68+;10.544998446989;4.4558716579363;13.5934730046445;NA;NA;10.3;5.8;12.2;NA;NA;kcells/L;Cells/HPF_26.5mm_x600_Lung;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Median;IQR(Q1, Q3);PMID;17537769;Tab. 2, p. 630;Article;;;;;;24;;;;;;;
Tumour Associated Macrophages;CD68+,IL17RC;NA;NA;NA;NA;NA;23.4;2.3;168.9;2.3;168.9;kcells/L;cells/mm2_islets_NSCLC;NSCLC tumor islets (nests);Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;22534817;p. 6, Section Results;Article;;53;15;60;;68;;;;;;;
Tumour Associated Macrophages;CD68+,IL17RC;NA;NA;NA;NA;NA;25.7;2.3;102.3;2.3;102.3;kcells/L;cells/mm2_stroma_NSCLC;NSCLC tumor stroma;Non-Small Cell Lung Cancer (NSCLC);Median;Not specified;PMID;22534817;p. 6, Section Results;Article;;53;15;60;;68;;;;;;;
Tumour Associated Macrophages;;NA;NA;NA;NA;NA;118.82;NA;43.11;NA;NA;kcells/L;cells/field_x200_NSCLC_14698536;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Mean;SD;DB;14698536;p. 49, Section Results;Article;;;;;;63;;;;;;;
Tumour Associated Macrophages;;NA;NA;NA;NA;NA;120.2;NA;32.6;NA;NA;kcells/L;cells/field_x200_NSCLC_14698536;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Mean;SD;DB;14698536;tab. 1, p. 50;Article;;;;;;15;;;;;;;
Tumour Associated Macrophages;;NA;NA;NA;NA;NA;112.5;NA;41.6;NA;NA;kcells/L;cells/field_x200_NSCLC_14698536;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Mean;SD;DB;14698536;tab. 1, p. 50;Article;;;;;;12;;;;;;;
Tumour Associated Macrophages;;NA;NA;NA;NA;NA;117.8;NA;45.7;NA;NA;kcells/L;cells/field_x200_NSCLC_14698536;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Mean;SD;DB;14698536;tab. 1, p. 50;Article;;;;;;33;;;;;;;
Tumour Associated Macrophages;;NA;NA;NA;NA;NA;148.3;NA;43.1;NA;NA;kcells/L;cells/field_x200_NSCLC_14698536;NSCLC tumor tissue;Non-Small Cell Lung Cancer (NSCLC);Mean;SD;DB;14698536;tab. 1, p. 50;Article;;;;;;3;;;;;;;

